Name;URL;Author;Price;Number of ratings;Average rating
"
            Certificate Physical and Human Geography
        ";https://www.amazon.in/Certificate-Physical-Human-Geography-Cheng/dp/0195628160?_encoding=UTF8&psc=1;Goh Cheng Leong;   260.00;4.2 out of 5 stars;658
"
            Objective General English
        ";https://www.amazon.in/Objective-General-English-S-P-Bakshi/dp/9351768449?_encoding=UTF8&psc=1;S.P. Bakshi;   188.00;4.2 out of 5 stars;1,415
"
            The Power of Habit: Why We Do What We Do, and How to Change
        ";https://www.amazon.in/Power-Habit-Why-What-Change/dp/1847946240?_encoding=UTF8&psc=1;Charles Duhigg;   318.00;4.4 out of 5 stars;400
"
            12 Years' Solved Papers CBSE AIPMT & NEET
        ";https://www.amazon.in/Years-Solved-Papers-CBSE-AIPMT/dp/9311127639?_encoding=UTF8&psc=1;Arihant Experts;   244.00;4.0 out of 5 stars;26
"
            To Kill a Mockingbird
        ";https://www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484?_encoding=UTF8&psc=1;Harper Lee;   230.00;4.3 out of 5 stars;1,049
"
            The Secret Of The Nagas (Shiva Trilogy-2)
        ";https://www.amazon.in/Secret-Nagas-Shiva-Trilogy-2/dp/9381626340?_encoding=UTF8&psc=1;Amish Tripathi;   150.00;4.6 out of 5 stars;1,481
"
            Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping Our Future
        ";https://www.amazon.in/Elon-Musk-Billionaire-Spacex-Shaping/dp/0753555638?_encoding=UTF8&psc=1;Ashlee Vance;   240.00;4.6 out of 5 stars;540
"
            Inner Engineering: A Yogi’s Guide to Joy
        ";https://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1;Sadhguru;   173.00;4.7 out of 5 stars;832
"
            Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear
        ";https://www.amazon.in/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY?_encoding=UTF8&psc=1;Lakhmir Singh;   1,122.00;3.7 out of 5 stars;14
"
            39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Chemistry
        ";https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Chemistry/dp/9311128759?_encoding=UTF8&psc=1;Ranjeet Shahi;   249.00;3.9 out of 5 stars;75
"
            Keepers of the Kalachakra: The latest thriller in the Bharat Series by bestselling author Ashwin Sanghi
        ";https://www.amazon.in/Keepers-Kalachakra-latest-thriller-bestselling/dp/9386850648?_encoding=UTF8&psc=1;Ashwin Sanghi;   208.00;4.2 out of 5 stars;200
"
            Concepts of Physics 1
        ";https://www.amazon.in/Concepts-Physics-1-H-C-Verma/dp/8177091875?_encoding=UTF8&psc=1;H.C. Verma;   329.00;4.6 out of 5 stars;640
"
            Objective NCERT at your Fingertips - Biology
        ";https://www.amazon.in/Objective-NCERT-your-Fingertips-Biology/dp/938656193X?_encoding=UTF8&psc=1;MTG Editorial Board;   600.00;4.7 out of 5 stars;180
"
            Essential English Grammar with Answers
        ";https://www.amazon.in/Essential-English-Grammar-Answers-Raymond/dp/8175960299?_encoding=UTF8&psc=1;Raymond Murphy;   129.00;4.4 out of 5 stars;591
"
            High School English Grammar and Composition Book (Regular Edition)
        ";https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1;D;   285.00;4.3 out of 5 stars;662
"
            The Secret
        ";https://www.amazon.in/Secret-Rhonda-Byrne/dp/1847370292?_encoding=UTF8&psc=1;Rhonda Byrne;   416.00;4.5 out of 5 stars;1,218
"
            CBSE UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude
        ";https://www.amazon.in/CBSE-UGC-NET-SET-JRF/dp/9332551731?_encoding=UTF8&psc=1;KVS Madaan;   337.00;4.3 out of 5 stars;177
"
            Quantitative Aptitude for Competitive Examinations (Old Edition)
        ";https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Old/dp/8121924987?_encoding=UTF8&psc=1;R.S. Aggarwal;   299.00;3.8 out of 5 stars;1,925
"
            Don't Lose Your Mind, Lose Your Weight
        ";https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1;Rujuta Diwekar;   130.00;4.5 out of 5 stars;820
"
            Study Guide for B.Arch 2018
        ";https://www.amazon.in/Study-Guide-B-Arch-2018-Mishra/dp/9312146033?_encoding=UTF8&psc=1;PK Mishra;   263.00;4.4 out of 5 stars;4
"
            Science Textbook for Class 10- 1064
        ";https://www.amazon.in/Science-Textbook-Class-10-1064/dp/8174506365?_encoding=UTF8&psc=1;NCERT;   165.00;3.2 out of 5 stars;50
"
            Imperfect
        ";https://www.amazon.in/Imperfect-Sanjay-Manjrekar/dp/9352774515?_encoding=UTF8&psc=1;Sanjay Manjrekar;   494.00;4.3 out of 5 stars;44
"
            1984
        ";https://www.amazon.in/1984-George-Orwell/dp/8192910903?_encoding=UTF8&psc=1;George Orwell;   165.00;4.4 out of 5 stars;475
"
            23 Year's Chapterwise Solved Questions General Studies Paper I
        ";https://www.amazon.in/Chapterwise-Solved-Questions-General-Studies/dp/9312142054?_encoding=UTF8&psc=1;Arihant Experts;   197.00;3.8 out of 5 stars;18
"
            Mathematics for Class 12 by R D Sharma (Set of 2 Volume) (2018-19 Session)
        ";https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193663012?_encoding=UTF8&psc=1;R.D. Sharma;   855.00;4.3 out of 5 stars;11
"
            Man's Search for Meaning
        ";https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1;Viktor E Frankl;   225.00;4.2 out of 5 stars;460
"
            The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition #2)
        ";https://www.amazon.in/Fortune-Geronimo-Stilton-Kingdom-Fantasy/dp/9352751183?_encoding=UTF8&psc=1;Geronimo Stilton;   560.00;4.7 out of 5 stars;153
"
            Thinking, Fast and Slow (Penguin Press Non-Fiction)
        ";https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576?_encoding=UTF8&psc=1;Daniel Kahneman;   359.00;4.5 out of 5 stars;456
"
            Mathematics Textbook for Class - 10  - 1062
        ";https://www.amazon.in/Mathematics-Textbook-Class-10-1062/dp/8174506349?_encoding=UTF8&psc=1;NCERT;   140.00;3.8 out of 5 stars;33
"
            Flamingo - Textbook in English (Core Course) for Class - 12  - 12074
        ";https://www.amazon.in/Flamingo-Textbook-English-Course-Class/dp/8174506500?_encoding=UTF8&psc=1;NCERT;   45.00;3.4 out of 5 stars;20
"
            The Oath of the Vayuputras (Shiva Trilogy)
        ";https://www.amazon.in/Oath-Vayuputras-Shiva-Trilogy/dp/9382618341?_encoding=UTF8&psc=1;Amish Tripathi;   270.00;4.4 out of 5 stars;1,412
"
            Prep Guide to BITSAT 2018
        ";https://www.amazon.in/Prep-Guide-BITSAT-Arihant-Experts/dp/9311130133?_encoding=UTF8&psc=1;Arihant Experts;   500.00;4.7 out of 5 stars;19
"
            Moments : Supplementary Reader in English for Class - 9  - 960
        ";https://www.amazon.in/Moments-Supplementary-Reader-English-Class/dp/8174505032?_encoding=UTF8&psc=1;NCERT;   35.00;4.3 out of 5 stars;4
"
            An Era of Darkness: The British Empire in India
        ";https://www.amazon.in/Era-Darkness-British-Empire-India/dp/938306465X?_encoding=UTF8&psc=1;Shashi Tharoor;   437.00;4.5 out of 5 stars;321
"
            Beehive  for Class - 9 - 959
        ";https://www.amazon.in/Beehive-for-Class-9-959/dp/8174505024?_encoding=UTF8&psc=1;Paperback;   65.00;4.0 out of 5 stars;1
"
            The Theory of Everything
        ";https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919?_encoding=UTF8&psc=1;Stephen Hawking;   197.00;4.5 out of 5 stars;371
"
            Who Will Cry When You Die?
        ";https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1;Robin Sharma;   149.00;4.4 out of 5 stars;2,424
"
            Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated Cover
        ";https://www.amazon.in/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149?_encoding=UTF8&psc=1;Amish Tripathi;   219.00;4.1 out of 5 stars;4,381
"
            Trueman's UGC NET/SET General Paper I
        ";https://www.amazon.in/Truemans-UGC-NET-General-Paper/dp/8189301225?_encoding=UTF8&psc=1;M. Gagan;   265.00;4.2 out of 5 stars;297
"
            Peppa Pig: Fairy Tale Little Library
        ";https://www.amazon.in/Peppa-Pig-Fairy-Little-Library/dp/1409306178?_encoding=UTF8&psc=1;Lauren Holowaty;   133.00;3.9 out of 5 stars;214
"
            Science Textbook for Class - 9  - 964
        ";https://www.amazon.in/Science-Textbook-Class-9-964/dp/8174504923?_encoding=UTF8&psc=1;NCERT;   135.00;3.4 out of 5 stars;54
"
            Economics Textbook for Class - 9  - 970
        ";https://www.amazon.in/Economics-Textbook-Class-9-970/dp/8174505172?_encoding=UTF8&psc=1;NCERT;   45.00;3.8 out of 5 stars;33
"
            Mathematics for Class - 7  - 756
        ";https://www.amazon.in/Mathematics-Class-7-756-NCERT/dp/8174506691?_encoding=UTF8&psc=1;NCERT;   55.00;4.2 out of 5 stars;24
